,playerID,commonName,league,startYear,endYear,totalGames,positionWar,averageHit,patience,power,speed,defense,playerLabel,shortWar,positionCat,fact
0,culbech01,Charlie Culberson,MLB,2012,2020,428,-0.62,41.79145113,13.77620474,41.70977403,64.52491152,24.25809965,Active Player,-0.234672897,Outfielder,"There is no fun fact for this player, if you would like to learn more search for this player online!"
1,gosseph01,Phil Gosselin,MLB,2013,2020,359,0.895,72.99210455,28.64143752,16.87993466,58.56248298,44.89518105,Active Player,0.403871866,Middle IF,"There is no fun fact for this player, if you would like to learn more search for this player online!"
2,herrmch01,Chris Herrmann,MLB,2012,2019,370,-1.15,3.648243942,70.10618023,44.10563572,75.85080316,36.48243942,Active Player,-0.503513514,Catcher,"There is no fun fact for this player, if you would like to learn more search for this player online!"
3,kratzer01,Erik Kratz,MLB,2010,2020,335,1.715,21.23604683,19.11244215,69.67056902,1.334059352,99.59161448,Active Player,0.829343284,Catcher,"There is no fun fact for this player, if you would like to learn more search for this player online!"
4,pireljo01,Jose Pirela,MLB,2014,2019,302,0.545,67.57419004,18.97631364,37.24475905,78.87285598,38.95997822,Active Player,0.292350993,Middle IF,"There is no fun fact for this player, if you would like to learn more search for this player online!"
5,saladty01,Tyler Saladino,MLB,2015,2019,326,1.31,10.86305472,24.06751974,9.501769671,81.10536346,90.49823033,Active Player,0.650981595,Corner IF,"There is no fun fact for this player, if you would like to learn more search for this player online!"
6,shuckja01,JB Shuck,MLB,2011,2019,461,-1.555,30.8467193,28.53253471,1.687993466,83.41954805,16.52600054,Active Player,-0.546442516,Outfielder,"There is no fun fact for this player, if you would like to learn more search for this player online!"
7,spangco01,Cory Spangenberg,MLB,2014,2019,419,4.34,54.50585353,39.94010346,27.93356929,88.40185135,58.58970868,Active Player,1.677995227,Corner IF,"There is no fun fact for this player, if you would like to learn more search for this player online!"
8,wilsobo02,Bobby Wilson,MLB,2008,2019,386,1.085,1.170705146,35.25728288,13.15001361,6.806425265,98.93819766,Active Player,0.455362694,Catcher,"There is no fun fact for this player, if you would like to learn more search for this player online!"
9,acunaro01,Ronald Acuna Jr.,MLB,2018,2020,313,11.915,88.59243126,87.53062891,96.32453036,91.34222706,61.74789001,Active Player,6.16686901,Outfielder,"There is no fun fact for this player, if you would like to learn more search for this player online!"
10,almonab01,Abraham Almonte,MLB,2013,2020,376,1.775,27.68853798,55.73101007,41.57364552,94.69098829,61.5300844,Active Player,0.764760638,Outfielder,"There is no fun fact for this player, if you would like to learn more search for this player online!"
11,almoral01,Albert Almora,MLB,2016,2020,489,2.42,79.00898448,4.192757964,18.73128233,43.94228151,72.31146202,Active Player,0.801717791,Outfielder,"There is no fun fact for this player, if you would like to learn more search for this player online!"
12,altheaa01,Aaron Altherr,MLB,2014,2019,359,1.31,7.378164988,87.47617751,75.90525456,91.66893548,52.05554043,Active Player,0.591142061,Outfielder,"There is no fun fact for this player, if you would like to learn more search for this player online!"
